valsi	lojban	english	type_discrepancy
bartu	ei mi klama lo bartu be le zdani	I should go out.	
basna	mi pu basna le nu le nu ca'o gunka cu vajni vau le ka cladu cusku	I emphasized the importance of continuing to work by saying it aloud.	
basti	ma ba basti do le nu gunka	Who will replace you?	
batci	pu ku pa gerku cu batci le tuple be mi	A dog bit my leg.	
batke	ra pu ru'i jgari pa batke be le kosta pe le nei	He was holding a button of his coat.	
bavmi	lo'e bavmi cu ralju le'i se cupra be bu'u	Barley is the main product here.	
bebna	ko na jai zu'e bebna le ka so'i roi ku cusku da	Don't be silly in repeating the same.	
bekpi	mi ca'o cortu le ka se bekpi	My back still hurts.	
bemro	mi nelci le bemro tumla	I like North American lands.	
bende	mi cmima le'i stati prenu ku noi se bende pa da la robin le nu ro cmima be le se nei cu tadni la lojban	I am a member of a team of smart people led by Robin and learning Lojban.	
benji	mi ba benji pa xatra do fu tu'a la internet fo le skami pe le zdani be mi	I will send you a letter via the internet from my home computer.	
benji	le gunka pu benji le sance sinxa le drata gunka le galtu le vacri	A worker sent a sound signal to another worker from the above over the air.	
bersa	mi se bersa re da	I have two sons.	
berti	le za'u purdi be fi lo grute cu berti le tcadu le farna be le'e maksi jesni	Fruit gardens are to the north of the city in terms of magnetic needle direction.	
besna	ro remna su'o da se besna	All humans have brains.	
betfu	mi cortu le ka se betfu	My belly hurts.	
betka	ti na ciblu gi'e ja'a betka	It's not blood. It's beet.	
betri	pu betri ra fa le nu le bersa be ra co'a morsi	It was a tragedy for him to lose his only son.	
bevri	mi pu bevri le pa patxu be lo nudle fu'e ta'o fi le purdi fo le slestu be le nu jukpa vau fu le rokci dargu fu'o	I carried a bowl of noodles (to the garden from the kitchen via a rocky road).	
bevri	la kevin pu bevri le pa gerku le zdani	Kevin brought a dog home.	
bevri	mi pu bevri le pa fonxa fo le pa daski	I took a phone out of a pocket.	
bidju	pu ku mu bidju ti zvati	There were five pebbles here.	
bifce	le bifce cu vofli vi lei xrula	Bees are flying near the flowers.	
bikla	le carvi pu bikla ta'i le nu ri janli le canko	The rain whipped against the window.	
bilga	mi bilga le ka bevri ti voi cukta vau le ponse ca le cabdei vau le ka pu nupre	I must take this book to the owner today fulfilling my earlier promise.	
bilma	ra pu terpa le nu le nei co'a bilma fi la zukam	She was afraid to catch a cold.	
bilma	mi bilma fi le influ'enza fe le ka cortu le ka se denci	I've got the flu and my teeth hurt.	
binra	le kagni cu binra le sportivo lo'e xrani le ka pleji le jdini	The company insures the sportsman against injuries by paying money as an insurance.	x4: definition expects (nu, Event) benefit; example uses "le ka pleji le jdini" (ka, Property), not nu.
binxo	le tsiju ba zi binxo le tricu	The seed soon will turn into a tree.	
birje	ti birje lo'e badna	This is banana beer.	
birka	ra pu gasnu le torni be le birka be mi	She twisted my arm.	
birti	mi birti le du'u do ba snada	I am sure you will succeed.	
birti	xu do pu'i jai gau birti fai lei rirni be do le du'u le nu litru cu na ckape	Have you persuaded your parents that the journey wouldn't be dangerous?	
bisli	au mi viska su'o bisli cmana	I'd like to see ice mountains.	
bitmu	le bitmu be le purdi bei le foldi cu rotsu	The fence between the garden and the field is thick.	
bitmu	pa ti voi bitmu le malsi cu sinxa le pu nu le gugde cu vlipa	One of these fences of the temple is a sign of the past power of the country.	
bitni	le vreji cu bitni li pa ki'o	The file is 1000 bit.	
blabi	lei denci be ra pu blabi	Her teeth were white.	
blaci	le kabri cu blaci lo blanu	The cup is made of blue glass.	
blanu	le tsani cu blanu ca le cabdei	The sky is blue today.	
blato	lo'e blato cu mipri le nei ca lo'e donri	Cockroaches hide themselves during daytime.	
bliku	le dinju cu te zbasu le bliku be lo rokci	The house is built of stone blocks.	
bloti	mi pu se marce le bloti be lo'e prenu bei le te falnu	I was a passenger on a sailboat for carrying people.	
bolci	pu ku bu'u le flecu le bolci fe'e co'u gunro	The ball rolled into the stream.	
bongu	mi pu jai gau janli fai le grana le bongu be le ka sarji le tuple be mi	I hit my leg bone with a stick.	
boske	ti boske le clani tricu joi le kliti dertu	This is a forest of long trees and clay loams.	
botpi	ti botpi le'e birje le blaci le pa xunre	This is a bottle of beer made of glass and having a red lid.	
boxfo	mi ba bevri le pa boxfo do	I will bring you a blanket.	
boxna	pu ku pa da barda boxna le xamsi	There was a big wave in the sea.	
bradi	le tance be mi mi bradi le nu mi troci le ka pilno le nei le ka bacru lo lojbo valsi---	My tongue is my enemy when I'm trying to use it to utter Lojban words.	
bratu	le nu le bratu be loi snime cu carvi cu pu vlile	The precipitation of sleet was violent.	
brazo	le finti cu brazo le ka se bangu	The author is Brazilian in their language.	
bredi	mi bredi le ka kansa do le ka cadzu	I am ready to walk with you.	
bridi	le du'u mi klama do ti cu bridi le ka klama vau mi ce'o do ce'o ti	That I come to you from here is a relationship between the property of coming and the sequence of me, you and this place.	
brife	oi le brife be lo berti se la'u li du'e carmi	Oh, the northern wind is too strong.	
briju	ti briju le mikce le tcadu	This is the doctor's city office.	
broda	.i mi pu klama cei broda le zarci i ba bo mi ze'a sipna .i xu do ba broda	I went to the market, and then I slept. Will you go to the market?	
bukpu	le bukpu cu cpana le jubme	The cloth is on the table.	
bumru	le xamsi cu bumru loi lenku dirgo	The sea is covered by a fog of cold drops.	
bunda	ti voi tanxe cu bunda li pa no le ka glico	This box is 10 Engish pounds in weight.	x3: definition expects Entity (standard); example uses "le ka glico" (ka / standard-as-property); type-system suggests (si'o, Standard) for unit standards.
bunre	le bunre gerku pu zvafa'i le pa blabi ractu	The brown dog found a white rabbit.	
burcu	ti burcu lo'e nu punji lo cinta vau lei cmalu	This is a brush for painting with small bristles.	
burna	xu do burna le nu do pilno la lojban	Are you disconcerted of using Lojban?	
cabna	so'i roi ku lo xamgu fasnu cu cabna lo xlali fasnu	Good events often happen at the same time as bad events.	
cabra	ti cabra le ka zalvi le gurni vau le xance	This is a hand-controlled machine for grinding grain.	
cacra	lo'e nicte be le cabna bei ti cu cacra li mu	At this time and this place, night is 5 hours long.	
cadzu	pu ku ca le nu do mo'u klama vau mi ru'i cadzu le srasu le jamfu	When you arrived I was walking on the grass on foot.	
cafne	.i mutce cafne fa le nu mi vitke le patfu be mi	It's quite often that I visit my father.	
cagna	ti cagna le pu se zvati be le pa denci le moklu be ra le nu le mikce mo'u vimcu denci bu	This is a wound in his mouth at the place where there was a tooth and caused by removal of the tooth by a doctor.	
cakla	mi nelci lo'e blabi cakla ne se mau lo'e manku cakla	I prefer white chocolate to dark chocolate.	
calku	mi nitcu tu'a su'o calku be lo stedu	I need a head helmet.	
canci	do canci le jvinu be fi mi	You disappeared from my view.	
cange	ti cange le barda tumla le mensi be mi le'e vanjba	This is a farm covering a large parcel of land; it's kept by my sister and produces grapes.	
canja	e'u mi canja fo do fe tu'a le bidju le ka gasnu lo nu mi zgana le tatru be do	Let me give you these beads in exchange that you show me your breast.	x2: definition expects (ka, Property of x₁) commodity; example uses "tu'a le bidju" (Entity), not ka.
canko	le canko be le karce cu kalri	The window in the car is open.	
canlu	le canlu be le purdi cu barda	The garden occupies a large space.	
canpa	ti canpa lo'e dertu ji lo'e snime	Is this spade for digging ground or snow?	
canre	mi pu penmi le i'u nai prina be le canre bei su'o jamfu	I found some footprints in the sand.	
canre	mi pu se nandu le ka cadzu lei canre poi gunma lo cmalu rokci	It was hard for me to walk on the sand made of small stones.	
canti	ro da poi remna zo'u kanpe le nu ba zi le nu da co'a cifnu vau loi jurme co'a xabju lo canti be da	For every human it is expected that soon after he is born bacteria colonize his intestines.	
carce	mi sazri le pa carce be lo'e karce	I am driving a car transporter.	
carmi	ti voi bombila cu carmi le ka te gusni vau mi	This light bulb gives a light bright to me.	
carna	ko carna fi le pritu	Turn to the right.	
carna	ko carna fi le pritu	Turn right.	
carna	i ko carna le kojna  le pritu	Turn right around the corner.	
carna	ro da poi mokca le xislu zo'u da go nai carna le jendu le pritu be ri bei mi gi'e galtu be mi bei le jendu gi carna le jendu le zunle be ri bei mi gi'e dizlo be mi bei le jendu	The wheel was rotating around the rod counterclockwise when viewed by me.	
carna	le xislu pu ca'o ca'a carna le grana	The wheel was rotating around the rod.	
cartu	ti cartu le fange tcadu le dargu	This is a map showing roads of an alien city.	
cartu	gau ko mi zgana le cartu be le nu'o se zvati be mi'o	Show me a map of places where you and I haven't been.	
carvi	ca ca'o carvi	It's raining.	
carvi	le snime pu carmi carvi le lalxu pa barda dilnu	It was snowing hard onto the lake from a large cloud.	
casnu	ra joi mi pu casnu le pa arte	She and I discussed a piece of art.	
catke	le nixli pu catke le nanla le stedu be ri	The girl pushed the boy on his head.	
catlu	ko catlu mi	Look at me.	
catni	mi co'a catni le ka cange ti ce'u vau le du'u le patfu be mi cu curmi le nu nei	The authority to be a farmer on this land has been given to me by my father.	
catra	ra kakne le ka catra re cipni le ka pilno pa rokci	He can kill two birds with one stone.	
caxno	ti voi lalxu cu caxno le ka sraji vau le sefta be vo'a	This lake is shallow in separating its bottom from its surface.	
cecla	ti cecla lo'e fagri	This is a fire gun.	
cecmu	le pa cecmu be lo cipni mo'u muvdu le bu'u tcadu	A colony of birds moved to this city.	
cedra	le cabna cu cedra le ka pilno lei skami	These days are the era of using computers.	
cenba	do cenba le ka cpedu ma kau vau le barda	Your demands vary to much degree.	
cenba	ro linji ka'e cenba le ka clani ma kau vau ro da	Any line segment can be changed in its length to any degree.	
censa	le bu'u tcadu cu censa ro prenu pe vi	This city is holy to all people here.	
centi	le insekto cu centi le ka ce'u mitre li xo kau vau le ka ce'u clani	The insect is 1 centimeter long.	
cerda	mi cerda le ka ponse le dinju vau le patfu be mi su'o se djica be ri	I inherited the house from my father according to his will.	
cerni	cerni coi	Good morning!	
cerni	ca cerni pa cnino la .nipon.	It is now the morning of a new day in Japan.	
cevni	do cevni mi le nu carvi	You are a god of rain for me.	x3: definition expects (ka, Property) dominion/sphere; example uses "le nu carvi" (nu, Event), not ka.
cfari	de'i li cy xo le se tigni cu cfari	At what time does the performance begin?	
cfika	la'e lu la lunra cu kusru turni li'u cfika le logji bangu	 'The Moon is a harsh mistress' is a fiction about logical languages.	
cfila	mi se cfila le nu le drata cu xanka	I have my faults making other nervous.	
cfine	mi pu setca pa cfine le loldi te zu'e le nu le mi'u vorme co'a kalri	I drove a wedge into the floor so that the door was open.	
cfipu	zo zabna jai cfipu mi le ka se smuni	To me {zabna} is confusing in meaning.	x1: definition expects (nu, Event) or state that confuses; example uses "zo zabna" (Text/word) as confusing thing.
cfipu	do je'a xu se cfipu le ka cuxna le ka zukte ma kau	Are you really confused of deciding what to do?	
ciblu	le ciblu be mi cu klesi li a bu ma'u bu	My blood type is A positive.	
cicna	le vanci tsani co'a cicna	The evening sky became turquoise.	
cidja	le rectu na cidja le xirma	Meat is not a food for horses.	
cidja	mi nelci le jungo cidja	I like Chinese food.	
cidni	le cidni be le tuple be mi cu se xrani	My knee is injured.	
cidro	le cidro cu traji linto se ratni	Hydrogen is the lightest element.	
cifnu	xu le mi'u cifnu xa'o jimpe le lojbo se smusku	Does the infant understand Lojban yet?	
cigla	ti cigla le xasne le remna	This human gland secrets sweat.	
cikna	xu su'o do cikna	Is any of you awake?	
cikna	mi pu co'a clira cikna	I got up early.	
cikna	ko jai gau cikna fai mi de'i li cy bi	Wake me up at 8.	
cikre	mi cikre le mi'u spofu stizu le ka ka'e se zutse	I repair the chair so that one can sit on it.	
ciksi	mi pu ciksi fi le mi'u ctuca fe le nu mi na zvati le nu penmi vau fo le nu mi na pu djuno le du'u sarcu fa le nu mi zvati nu bu	I explained to the teacher my absence at the meeting that I didn't know that I should've been there.	
ciksi	le gidva pu ciksi fi mi'a fe le nu mi'a cliva ca le lerci vau le nu le aftobuso nu'o mo'u klama	The guide explained to us that we would leave later in that the bus hadn't yet arrived.	
cilce	ti noi foldi cu cilce	This field is untamed.	
cilce	ra sazri pa cilce xirma	He rides an untamed horse.	
cilmo	ko lumci le mi'u canko se pi'o le cilmo bukpu	Clean the window with a damp cloth.	
cilre	mi cilre fi la .lojban.	I learn Lojban.	
cilre	mi pu cilre le du'u le remna na smani	I learnt that humans are not monkeys.	
cilre	mi tcidu mu'i le nu mi cilre	I read in order to learn.	
cilre	mi so'i da pu'i cilre fo le nu mi pu zgana le cipni	I learned a lot from watching birds.	
cilta	mi pu katna le mi'u cilta le ci mei	I cut the wire into three pieces.	
cimde	le ka ka'e zdani cu cimde le dinju le ka su'o certu cu jinvi fi ce'u	Being a potential home to somebody is a dimension of the building according to an opinion of some experts.	
cimni	si'au le nu penmi cu cimni le ka se ditcu	It seems to me, the meeting will never end.	
cimni	le mi'u munje cu cimni le ka se canlu	The world is infinite in space.	
cinba	mi pu cinba le mi'u fetsi re'o pa kerlo	I kissed her in the ear.	
cindu	xu da cindu bu'u le mi'u cmana	Are there oak trees on the mountain?	
cinfo	mi pu se spaji le ka viska le cinfo	I was surprised to see a lion.	
cinje	da cinje le bukpu	There are creases in the cloth.	
cinje	gau ko ri xutla	Smooth out it.	
cinki	lo ka insekto cu ka cinki	Insects are arthropods.	
cinla	le mi'u ninmu cu cinla le ka se tuple	The woman has thin legs.	
cinmo	mi cinmo le ka gleki vau le nu mi'o tavla zu'ai bau la lojban	I feel happy that we talk in Lojban.	x3: definition expects Entity (about what); example uses "le nu mi'o tavla..." (nu, Event).
cinri	.i ma paunai se cinri le cabna be lenu ra co'a speni	Who cares when she gets married?	
cinta	mi pu punji le cinta be le kliti bei le sovda le mi'u bitmu	I put an oil paint (with clay as a pigment) on to the wall.	
cinza			
cinza	lei re cinza be le manti bei lei cidja ca ca'o sutra muvdu	The two pincers of the ant used to pinch food are quickly moving.	
cipni	le mi'u pa cipni ca'o vofli	The bird is flying.	
cipra	le nu catlu le kanla be do cu cipra le nu do stace se la'u li xo kau	To look into your eyes is a test of your sincerity.	
cipra	mi pu gasnu le cipra be tu'a le mi'u karce	I tested the car.	
cipra	ba zi ku mi jai se cipra	I will have a test soon.	
cirko	mi cirko le ka kakne le ka sazri le xirma vau le ka xabju le tcadu	I lost my ability to ride a horse while living in the city.	
cirla	xu do djica tu'a le cirla	Would you like cheese?	
ciska	mi ba ciska lu coi munje li'u le pelji	I will write "Hello, world!" on the paper.	
cisma	se ja'e ma do cisma	Why are you smiling?	
ciste	le kibro cu ciste le se tcana be le skami poi se pi'o ce'u le prenu cu jikca	The internet is a system with computer nodes, using which people communicate.	
citka	.i mi mo'u citka le pa badna .e le re plise	I've eaten a banana and two apples.	
citno	le nixli cu citno le ka lifri le xo kau mei	The girl is young in how much she experienced.	x2: definition expects (si'o, Standard); example uses "le ka lifri" (ka, Property of x₁) as dimension.
citri	mi tadni le citri be le mi'u kagni bei le cnino lanli	I'm studying the history of the company according to new analysts.	
citsi	ca citsi le ka carvi ca ce'u vau le pa no no mu moi	Now it's the season of rains of year 2005.	
citsi	vi ku le dunra cu citsi le ka lenku ca ce'u	Here, winter is a cold season.	
civla	xu le civla be fi le gerku cu ckape le remna	Are dog louses dangerous to humans?	
cizra	.i le valsi cu cizra mi le ka se smuni makau	The word is strange to me in meaning.	
cizra	.i cizra fa le nu la .tom. na zvati	It's strange that Tom is not present.	
ckabu	le bolci poi ckabu cu plipe ri'a le ka pruni	A rubber ball jumps because it is elastic.	
ckafi	do pinxe le ckafi ji le tcati	Will you drink coffee or tea?	
ckaji	le mi'u prenu na simlu gi'e ku'i ja'a ckaji vau le ka ninmu	The person doesn't look like a woman but she is.	
ckaji	le ka masno bacru cu se ckaji tu noi nanmu	Slow speech is the characteristic of that man.	
ckana	au mi vreta le ckana	I want to lie down in bed.	
ckape	ka'e ckape le nu do kanro vau fa le nu do zukte le se stidi be la kevin	It can be dangerous for your health to do what Kevin suggested.	
ckape	do jai se ckape fai le nu do co'a bilma	You are at risk of getting ill.	
ckasu	le pendo pu ckasu mi le ka cadzu tai ma kau vau le ka cusku le mabla	The friend mocked at the manner I walk by saying bad words.	
ckeji	le mamta be mi pu ckeji le nu mi tarti ma kau vau lei prenu	My mother was ashamed in front of the crowd of my conduct.	
ckiku	ti ckiku le xunre vorme i ma ckiku le jaspu be do	What is the password to your account?	
ckiku	mi mo'u cirko le pe mi ckiku	I lost my keys.	
ckilu	le ka mitre ma kau cu ckilu le ka te sepli ma kau ma kau	Metric scale measures the distance between two points.	x1: definition expects (si'o, Scale); example uses "le ka mitre" (ka, Property).
ckilu	.i le ka skari cu ckilu le nu le stizu cu xunre	Having a color is the scale of the chair being red.	x2: definition expects (ka, Property of nonce place); example uses "le nu le stizu cu xunre" (nu, Event).
ckini	mi na jimpe le du'u makau te ckini le panci le jai se vecnu be fi do	I don't understand the relation between the smell and your purchases.	
ckini	ti'e le sance cu ckini le barda mabru le ka ce'u cupra ce'u fau le nu ri pagre ti	They say the sound is related to a large mammal that produces it while passing here.	
ckini	le nu da'i mi pu zvati la nipon cu ckini fi no da	The fact that I was in Japan is totally irrelevant.	
ckire	mi ckire do le mi'u ka sidju mi	Thank you for helping me.	
ckire	ckire fi le balvi	Thanks in advance.	
ckule	ti ckule le bu'u gugde le ve mikce le citno tadni	This is a medical school serving in this area teaching therapy methods to young students.	
ckule	mi ve ckule fi le ralju	I'm in primary school.	
ckunu	xu le tsiju be ti noi ckunu cu kukte	Are pine nuts of this conifer tasty?	
cladu	le zgike cu cladu le bu'u kumfa ku ji'a	The music is loud even when you are in this room.	
clani	la tom cu clani le ka sraji	Tom is tall.	
clani	le cmana cu clani	The mountain is high.	
clani	le nu penmi pu clani le ka se ditcu	The meeting was long.	
clani	clani le ka mitre li re	The length is two meters.	
claxu	mi claxu le ka djica le ka citka	I lack the desire to eat.	
claxu	si'au do claxu le ka cinmo da	Looks like you lack any emotions.	
claxu	mi claxu su'o penbi	I don't have a pen.	
clika	ti clika fi le rokci	This is moss growing on rocks.	
clira	le nu la alis cu cliva le mi'u briju pu clira le se sruma be mi	Alice leaving the office was early according to my assumption.	x2: definition expects (si'o, Standard); example uses "le se sruma be mi" (Entity: my assumption), not si'o.
clite	do pu na clite le ka cusku le se du'u le mi'u ctuca na drani	You wasn't polite in saying that the teacher isn't right.	
cliva	ra pu cliva le mi'u kumfa pa canko	He left the room via a window.	
clupa	ko jai se torni le mi'u skori ja'e le nu ri clupa	Twist the rope into a loop.	
cmaci	mi tadni le cmaci be le klani	I study arithmetic (mathematics of quantity).	
cmalu	le nu penmi ba cmalu le ka ditcu	The meeting will be short in duration.	
cmalu	le mi'u cukta cu cmalu le ka jai vajni	The book is of little importance.	
cmana	so'i da cmana le bu'u tumla	This land has a lot of mountains.	
cmavo	zo ka cmavo ma'oi nu	{ka} is a grammatical particle of class "NU" (clause prefix)	
cmene	.i ma cmene do	What is your name?	
cmene	.i mi se cmene zo .bab.	My name is Bob.	
cmene	.i le bruna be mi mi te cmene zo ractu	My brother calls me "Rabbit"	
cmene	le kamni pu xusra le du'u le prenu pu zukte no le se cmene be lu na'e drani li'u bei le kamni	The committee asserted that the person had done nothing "incorrect" (quoting the committee's words).	
cmila	ra pu co'a cmila	She started laughing.	
cmima	mi cmima pa kamni pe le mi'u gugde	I am a member of a state committee.	
cmoni	le mi'u prenu pu cmoni zo a le ka gleki	The person uttered "A!" expressing his happiness.	
cnano	le ki'ogra be li ci cu cnano le ka se junta vau le ca zi jbena	3 kilograms is a normal weight of newborns.	
cnebo	le cnebo be le za'u vi ninmu cu clani	These women have long necks.	
cnemu	mi pu cnemu le mi'u gerku le ka bevri le grana vau le ka te cpacu le sakta le mi'u gerku	I rewarded the dog for bringing the stick by giving it sugar.	
cnici	le mi'u kerfa cu cnici le ka se ganzu fi le carmi	The hair is neat in being organized into a shining part.	
cnino	.i do cnino mi le ka kakne le ka limna	This is news to me that you can swim.	
cnino	.i cnino fa no cnita be le solri	Nothing is new under the Sun.	
cnisa	ra pu troci le ka zbasu le solji le cnisa	He tried to make gold out of lead.	
cnita	le mi'u pelji cu cnita le mi'u cukta	The paper is below the book.	
cokcu	le mi'u verba cu cokcu le ladru le tatru le moklu	Children suck up milk from breast into the mouth.	
condi	ti voi xamsi cu condi le ka sraji vau le sefta be vo'a	This sea is deep in separating its bottom from its surface.	
condi	e'o do bevri le pa condi kabri	Please, bring a deep glass.	
cortu	mi cortu le xance	My hand hurts.	
cortu	mi cortu le galxe be mi	I have a sore throat.	
cpacu	mi ba cpacu le grute mi	I'll get fruits for myself.	
cpacu	mi ne le xance pu te cpacu fi la kevin fe le dakfu	I handed Kevin a knife.	
cpana	su'o bisli cu se cpana le cmana	There is ice on top of the mountain.	
cpare	ra pu mo'u cpare le mi'u cmana	She has climbed on the mountain.	
cpedu	le mi'u nanmu pu cpedu le ka jai gau kalri fai le mi'u vorme vau mi ta'i le ka jai gau muvdu fai le xance	The man asked me to open the door by moving his hand.	x2: definition expects (Entity or nu, Event) requested; example uses "le ka ..." (ka, Property), not Entity or nu.
cpina	le mi'u sanso cu cpina	The sauce is hot.	
cpina	le mi'u panci cu cpina	The smell is irritating.	
cradi	ti cradi le vajni notci le tordu boxna le se bevri	This is a radio transmitter sending important messages on short waves to portable receivers.	
crane	pa tricu cu crane la alis la kevin	A tree is before (in front of) Alice from Kevin's position.	
crane	pa tricu cu crane mi	A tree is in front of me.	
crane	pa ctino cu pagre bu'u le crane be le mi'u lunra	A shadow passed before the moon.	
creka	do poi dasni le creka cu simlu le ka stati	You look smart in the shirt.	
crepu	ra crepu le vanjba le mi'u purdi	She is harvesting grapes from the garden.	
cribe	le cribe cu se zdani le vi boske	Bears live in this forest.	
crida	fi mi pu lisri pa da le za'u crida	I told a story about fairies.	
crino	ca le crisa le pezli poi crino co'a xunre	In the fall leaves that are green, turn red.	
cripu	mi'a muvdu fo le cripu be pa rirxe bei pa tcadu jo'u le nurma	We are moving over the bridge across a river that connects a city and the rural zone.	
crisa	ca crisa le re no no mu moi be le nanca ti	Now it's summer of year 2005 at my place.	
critu	xu ca critu le re no no mu moi be le nanca do	Is it now autumn of year 2005 at your place?	
ctaru	le ctaru be le xamsi cu barda	The tide in the sea is high.	
ctebi	le se dekpu be le ctebi be le mi'u vlagi cu banzu le nu le panzi cu pagre	The size of the hole of the vagina is enough for the child to pass.	
cteki	le prenu pu na nelci le noi cnino vau cteki be le ka ralte le bakni bei ro le xabju bei lei turni	People didn't like the new tax on keeping cows levied against everyone by the government.	
cteki	le rupnu be li re mu cu cteki le ka ralte le bakni	25 dollars is the tax for keeping cows.	
ctile	ti minji le nu cokcu le ctile	This is a machine for pumping out oil.	
ctino	mi pu terpa tu'a le ctino be le tricu bei le mi'u lunra	I was afraid of shadows of trees in moonlight.	
ctuca	le mi'u prenu pu ctuca mi'a le traji tasmi be le nu tavla fo la lojban	The person taught us the best style of speaking Lojban.	
ctuca	le mi'u mamta cu ctuca le mi'u verba le du'u le nu cladu tavla na se clite	The mother taught the child that talking loud isn't polite.	
ctuca	le mi'u laldo pu ctuca mi le tadji be le nu na ganse le ka cortu	The old one taught me the method of not feeling the pain.	x3: definition expects (du'u, Proposition) ideas/methods; example uses "le tadji be ..." (Entity: method), not a proposition.
cukla	le mi'u lunra noi pelxu gi'e cukla gi'e carmi cu zvati le tsani	The Moon, yellow, round and bright, is in the sky.	
cukta	mi tcidu fi pa cukta be le cinri	I read a book with an interesting content (an interesting book).	
culno	le mi'u lanka cu culno le pelji	The basket is full of paper.	
cumki	.i cumki fa le nu la .alis. ba jai lerci	It's possible that Alice will be late.	
cumla	mi'ai pu cumla le ka kanpe ma kau	We were modest in our expectations.	
cunmi	le jipci cu citka le cunmi	Hens eat millet.	
cunso	le cabna be le nu ra mo'u klama cu pu cunso	When would he come was unpredictable.	
cuntu	ra pu se cuntu le zekri	He was involved in a crime.	
cupra	le karce cu cupra le nejni le ka jai gau jelca le livla	Car produces energy by burning fuel.	
cupra	le tricu cu se cupra le grute	Trees come from fruits.	
curmi	le saske cu curmi le nu jimpe le munje	Science allows understanding the world.	
curmi	le mi'u canko cu curmi le nu le vifne vacri cu pagre	The window permits the passage of the fresh air.	
curnu	le mi'u cipni mo'u kavbu le curnu	The bird caught a worm.	
curve	ti noi djine cu curve le ka solji	This ring is of pure gold.	
cusku	.i ba ku mi cusku fi ra fe lu do mutce le ka xendo li'u	And then I said to her: "You are very kind."	
cusku	.i do pu cusku le se du'u do ba gasnu le katna be le nanba	You said that you would cut the bread.	
cutci	ti noi prenu cu zbasu le cutci be le sufti	This person makes horseshoes.	
cutne	le mi'u nanla pu ca'o jgari le gerku re'o le cutne	The boy was holding the dog near the chest.	
cuxna	mi nu'o mo'u cuxna fi le'i nu mi zukte	I haven't yet decided what to do.	
cuxna	nandu fa le ka cuxna	It's hard to choose.	
cuxna	su'o da poi nixli zo'u mi pu cuxna tu'a la alis le'i nu co'e da	I chose Alice from the girls.	
