glico	lojbo	spano
The general index of Bioy's encyclopedia did not record that name either.	.i le ralju liste pe le skecku pe byky na si'a liste lo se cmima be le cmene	El índice general de la enciclopedia de Bioy tampoco registraba ese nombre.
The following day, Carlos Mastronardi (to whom I had referred the matter) noticed in a bookstore on Corrientes and Talcahuano the black and gold spines of the Anglo-American Cyclopaedia...	.i ca le bavla'i djecitsi la'o .span.Carlos Mastronardi.span. noi mi pu skicu tu'a le nabmi ke'a ganse bu'u le zarci be lo cukta bei bu'u la'o .span.Corrientes.span. joi la'o .span.Talcahuano.span. fe su'oi te bakfu be su'oi lo ne pa'u lo xekri .e lo carmi pelxu ku slecku be sepa'u la'o gy.The Anglo-American Cyclopaedia.gy.	Al día siguiente, Carlos Mastronardi (a quien yo había referido el asunto) advirtió en una librería de Corrientes y Talcahuano los negros y dorados lomos de la Anglo-American Cyclopaedía...
He entered and interrogated Volume XLVI.	.i ra mo'u klama le nenri gi'e tadni le pa xa moi slecku	Entró e interrogó el volumen XLVI.
Naturally, he did not find the slightest trace of Uqbar.	.i li'a ra facki fi no da pe la .ukybar.	Naturalmente, no dio con el menor indicio de Uqbar.
II	ni'o ni'o re mo'o	II
Some limited and waning memory of Herbert Ashe, an engineer of the southern railways, persists in the hotel at Adrogué, among the effusive honeysuckle and in the illusory depths of the mirrors.	.i le noi se jimte gi'e jdika vau jai se morji be fi la erbert ac noi enge lei snanu te trene ku'o ca'o ku zvati le xotli la'o .span.Adrogué.span. gi'e jbini le za'u na'e rinju sparkaprifoliace'ai gi'e nenri le mucti condi be fi le za'u minra	Algún recuerdo limitado y menguante de Herbert Ashe, ingeniero de los ferrocarriles del Sur, persiste en el hotel de Adrogué, entre las efusivas madreselvas y en el fondo ilusorio de los espejos.
In life he suffered from unreality, like so many Englishmen; dead, he is not even the ghost that he already was then.	.i fi le nu ra jmive kei fa ra renvi lo ka te simlu lo ka ra na zasti .i ra noi nau morsi ku'o co'u pruxi ji'a	En vida padeció de irrealidad, como tantos ingleses; muerto, no es siquiera el fantasma que ya era entonces.
He was tall and listless and his tired rectangular beard had once been red.	.i ra pu clani gi'e na'e plana. i je le jai se tatpi je kurfa xejykre be ra pu pu xunre	Era alto y desganado y su cansada barba rectangular había sido roja.
I understand that he was a widower with no children.	.i mi jijnu le du'u ra pu co'u se speni gi'e se panzi no da	Entiendo que era viudo, sin hijos.
Every few years he would go to England: to visit (I judge from some photographs he showed us) a sundial and some oak trees.	.i ta'e ce'e paroi lo nanca be li so'o ra klama (to mi nusna fo tu'a le so'o pixra noi pu ku gau mi'a catlu toi) le glico tumla te zu'e lo nu ra zgana pa soljunla e so'o cindu tricu	Cada tantos años iba a Inglaterra: a visitar (juzgo por unas fotografías que nos mostró) un reloj de sol y unos robles.
My father had established with him (the verb is excessive) one of those English friendships that begin by excluding confidence and very quickly omit dialogue.	.i le patfu be mi pu jitro ra (to le bridi cu dukse toi) lo ka pendo tai le'e nu glico poi nu ca ro cfari cu zukte rivbi lo ka lacri gi'e ta'e tavla	Mi padre había estrechado con él (el verbo es excesivo) una de esas amistades inglesas que empiezan por excluir la confidencia y que muy pronto omiten el diálogo.
They used to have an exchange of books and newspapers; they used to play chess, taciturnly...	.i le'i re prenu pu ta'e simxu lo ka plicru fi lo cukta e lo karni kei e lo ka jivna fi tu'a lo caxmati fa ce'u ce'u noi smaji	Solían ejercer un intercambio de libros y de periódicos; solían batirse al ajedrez, taciturnamente...
I remember him in the hotel corridor, with a math book in his hand, sometimes looking at the irrecoverable colors of the sky.	.i mi vedli lo ka pu zgana lo nu ra zvati le nenri klaji be le xotli gi'e jgari le cukta be lo cmaci le xance be ra gi'e ta'e nai catlu le tsani noi skari lo ka ru'i cenba	Lo recuerdo en el corredor del hotel, con un libro de matemáticas en la mano, mirando a veces los colores irrecuperables del cielo.
One afternoon, we discussed the duodecimal numeral system (in which twelve is written 10).	.i ca pa lerci donri mi'a casnu le si'o saclu fi li pa re (to le saclu be me'o pa no bei li pa re du le saclu be me'o pa re bei li pa re toi)	Una tarde, hablamos del sistema duodecimal de numeración (en el que doce se escribe 10).
Ashe said that he was just translating I don't know what tables from duodecimal to sexagesimal (in which sixty is written 10).	.i la .ac. cusku le se du'u (to'u ri pu fanva sa'u lo se tcidu be fi lo noi na'e jai se djuno mi vau gredile vau lo se gerna be fi lo saclu be fi li pa no lo se gerna be fi lo saclu be fi li xa no (to li xa no ju'u pa no du li pa no ju'u xa no toi)	Ashe dijo que precisamente estaba trasladando no sé qué tablas duodecimales a sexagesimales (en las que sesenta se escribe 10).
He added that this work had been entrusted to him by a Norwegian: in Rio Grande do Sul.	.i le go'i cu jmina cusku le se du'u le te gunka ri te minde le norgo bu'u la'o .braz.Rio Grande do Sul.braz.	Agregó que ese trabajo le había sido encargado por un noruego: en Rio Grande do Sul.
We had known him for eight years and he had never mentioned his stay in that region...	.i mi'a pu se slabu ra ze'a lo nance be li 8 .i je ra no roi cusku su'o srana lo nu ra pu zvati bu'u bu	Ocho años que lo conocíamos y no había mencionado nunca su estadía en esa región...
We talked about pastoral life, capangas, the Brazilian etymology of the word gaucho (which some old Uruguayans still pronounce gaúcho) and nothing more was said - God forgive me - about duodecimal functions.	.i mi'a casnu lo'e nu xabju lo nurma e lo'e jai gau zekri e le brazo krasi be zoi zoi.gaucho.zoi. noi se fanva fi le bankle be so'o le laldo urguuaio fu zoi zoi.gaúcho.zoi. i cusku no drata pe (to ko fraxu mi doi cevni toi) lo'e nu fanva lo saclu be fi li pa re	Hablamos de vida pastoril, de capangas, de la etimología brasilera de la palabra gaucho (que algunos viejos orientales todavía pronuncian gaúcho) y nada más se dijo -Dios me perdone- de funciones duodecimales.
In September 1937 (we were not at the hotel) Herbert Ashe died of a ruptured aneurysm.	.i de'i li nanca bu 1937 masti bu 9 (to mi'a na zvati le xotli toi) la .xerbert.ac. co'a morsi ja'e lo nu lo punli be lo vasru be loi ciblu cu spoja	En setiembre de 1937 (no estábamos nosotros en el hotel) Herbert Ashe murió de la rotura de un aneurisma.
Days before, he had received a sealed and certified package from Brazil.	.i pu la'u pa djedi be li so'o ra cpacu le pa bakfu noi se stela gi'e se pikta	Días antes, había recibido del Brasil un paquete sellado y certificado.
It was a book in large octavo.	.i nenri fa le pa cukta noi barda oktavo	Era un libro en octavo mayor.
Ashe left it at the bar, where - months later - I found it.	.i la ac cliva ra bu'u le barja noi ba la'u le masti be li za'u mi penmi ra ke'a	Ashe lo dejó en el bar, donde -meses después- lo encontré.
I began to leaf through it and felt an astonished and light vertigo that I will not describe, because this is not the story of my emotions but of Uqbar and Tlön and Orbis Tertius.	.i mi co'a jai gau carna fai le papri gi'e manci gi'e cinmo lo ka pu'o de'a cikna .i ai mi na skicu le nu go'i .i ki'u bo lisri le nu mi cinmo na .e tu'a .ukybar. joi la .tlon. joi la .orbis.tertius.	Me puse a hojearlo y sentí un vértigo asombrado y ligero que no describiré, porque ésta no es la historia de mis emociones sino de Uqbar y Tlön y Orbis Tertius.
On a night in Islam called the Night of Nights, the secret doors of heaven open wide and the water in the pitchers is sweeter; If those doors were opened, I wouldn't feel what I felt that afternoon.	.i ca pa nicte po la islam zi'e poi se cmene "lu traji be fi lo'i nicte li'u" le za'u sivni vorme pe le tsani co'a kalri .ica bo le djacu poi se kabri co'i zenba lo ka titla .i da'i .u'e ganai le vorme cu kalri gi mi nu'o cinmo le se cnimo be mi bei ca le do'i fanmo be le donri	En una noche del Islam que se llama la Noche de las Noches se abren de par en par las secretas puertas del cielo y es más dulce el agua en los cántaros; si esas puertas se abrieran, no sentiría lo que en esa tarde sentí.
The book was written in English and consisted of 1001 pages.	.i le cukta cu cukta lo jufra poi glico ku'o gi'e se papri pa no no pa da	El libro estaba redactado en inglés y lo integraban 1001 páginas.
On the yellow leather spine I read these curious words that the false cover repeated: A First Encyclopaedia of Tlön. vol. XI. Hlaer to Jangr.	.i fi le pelxu skapi te bakfu fa mi tcidu le valsi ku voi ji'a se tcidu fi le barty gacri zi'e voi du "lu pa moi skecku la .tlon. i pa pa moi slecku fe'e co'a la'o .latm.Hlaer.latm. fe'e co'u la'o .latm.Jangr.latm.	En el amarillo lomo de cuero leí estas curiosas palabras que la falsa carátula repetía: A First Encyclopaedia of Tlön. vol. XI. Hlaer to Jangr.
There was no indication of date or place.	.i no da sinxa le detri .a le stuzi	No había indicación de fecha ni de lugar.
On the first page and on a sheet of tissue paper that covered one of the colored plates he had stamped a blue oval with this inscription: Orbis Tertius.	.i fe le pamoi papri e le boxfo be loi pelji be'o poi gacri pa le skari boxfo cu prina fa le blanu cukla e la'e zoi .latm.Orbis Tertius.latm.	En la primera página y en una hoja de papel de seda que cubría una de las láminas en colores había estampado un óvalo azul con esta inscripción: Orbis Tertius.
Two years ago I had discovered in a volume of a certain practical encyclopedia a cursory description of a false country; now chance provided me with something more precious and more arduous.	.i pu la'u le nanca be li re mi penmi fi le pa slecku be se pa'u le pa tadjycku fe le tordu uencu  be lo nu skicu le pa xanri gugde .i ca ku mi se funca tu'a su'o zmadu be fi lo ka jadni gi'e pluja	Hacía dos años que yo había descubierto en un tomo de cierta enciclopedia práctica una somera descripción de un falso país; ahora me deparaba el azar algo más precioso y más arduo.
Now I had in my hands a vast methodical fragment of the total history of an unknown planet, with its architectures and its decks, with the fear of its mythologies and the murmur of its languages, with its emperors and its seas, with its minerals and its birds and their fish, with their algebra and their fire, with their theological and metaphysical controversy.	.i ca ku mi jgari fi le ka xance vau le vreji be fo lo barda bei fe le pagbu be le satci citri be ko'a voi fange terdi .i je me lo se terdi be ko'a fa lo finti be lo te morna be fi lo zdani fe lo finti be lo kelci karda fa lo terpa be lo se ranmi fa lo se bangu be lo simlu be lo ka se cmoni kei fa lo balnoltru .i je ko'a se xamsi da gi'e te kunra gi'e terdi lo cipni e lo finpe .i je me lo se terdi be ko'a fa lo pilno be lo algebra fa lo pilno be lo fagri fa lo darlu tu'a lo cevni a lo se jetnu	Ahora tenía en las manos un vasto fragmento metódico de la historia total de un planeta desconocido, con sus arquitecturas y sus barajas, con el pavor de sus mitologías y el rumor de sus lenguas, con sus emperadores y sus mares, con sus minerales y sus pájaros y sus peces, con su álgebra y su fuego, con su controversia teológica y metafísica.
All of this articulated, coherent, with no visible doctrinal purpose or parodic tone.	.i le vreji cu cukta lo nu makcu je manfo lo ka ciksi te zu'e nai za'a lo nu da krici gi'e za'a na ckasu	Todo ello articulado, coherente, sin visible propósito doctrinal o tono paródico.
